std,hvt,lvt,33,bip,dio,res,vpwr33,vpwr10,temp
tt,tt,tt,tt,tt,tt,tt,3.3,1.0,70
ss,ss,ss,ss,ss,ss,ss,3,0.9,-10
ss,ss,ss,ss,ss,ss,ss,3.6,1.1,-10
ss,ss,ss,ss,ss,ss,ss,3,0.9,115
ss,ss,ss,ss,ss,ss,ss,3.6,1.1,115
ff,ff,ff,ff,ff,ff,ff,3,0.9,-10
ff,ff,ff,ff,ff,ff,ff,3.6,1.1,-10
ff,ff,ff,ff,ff,ff,ff,3,0.9,115
ff,ff,ff,ff,ff,ff,ff,3.6,1.1,115
fs,fs,fs,fs,ss,ss,ss,3,0.9,-10
fs,fs,fs,fs,ss,ss,ss,3.6,1.1,-10
fs,fs,fs,fs,ss,ss,ss,3,0.9,115
fs,fs,fs,fs,ss,ss,ss,3.6,1.1,115
fs,fs,fs,fs,ff,ff,ff,3,0.9,-10
fs,fs,fs,fs,ff,ff,ff,3.6,1.1,-10
fs,fs,fs,fs,ff,ff,ff,3,0.9,115
fs,fs,fs,fs,ff,ff,ff,3.6,1.1,115
sf,sf,sf,sf,ss,ss,ss,3,0.9,-10
sf,sf,sf,sf,ss,ss,ss,3.6,1.1,-10
sf,sf,sf,sf,ss,ss,ss,3,0.9,115
sf,sf,sf,sf,ss,ss,ss,3.6,1.1,115
sf,sf,sf,sf,ff,ff,ff,3,0.9,-10
sf,sf,sf,sf,ff,ff,ff,3.6,1.1,-10
sf,sf,sf,sf,ff,ff,ff,3,0.9,115
sf,sf,sf,sf,ff,ff,ff,3.6,1.1,115
