std,hvt,lvt,na,33,na33,bip,bip_npn,dio,dio_na,dio_hvt,dio_lvt,dio_dnw,dio_33,dio_na33,mos_cap,mos_cap_33,res,vpwr33,vpwr10,temp
tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,tt,3.3,1,70
ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3,0.9,-10
ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3.6,1.1,-10
ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3,0.9,115
ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3.6,1.1,115
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3,0.9,-10
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3.6,1.1,-10
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3,0.9,115
ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3.6,1.1,115
fs,fs,fs,fs,fs,fs,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3,0.9,-10
fs,fs,fs,fs,fs,fs,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3.6,1.1,-10
fs,fs,fs,fs,fs,fs,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3,0.9,115
fs,fs,fs,fs,fs,fs,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3.6,1.1,115
fs,fs,fs,fs,fs,fs,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3,0.9,-10
fs,fs,fs,fs,fs,fs,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3.6,1.1,-10
fs,fs,fs,fs,fs,fs,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3,0.9,115
fs,fs,fs,fs,fs,fs,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3.6,1.1,115
sf,sf,sf,sf,sf,sf,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3,0.9,-10
sf,sf,sf,sf,sf,sf,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3.6,1.1,-10
sf,sf,sf,sf,sf,sf,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3,0.9,115
sf,sf,sf,sf,sf,sf,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,ss,3.6,1.1,115
sf,sf,sf,sf,sf,sf,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3,0.9,-10
sf,sf,sf,sf,sf,sf,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3.6,1.1,-10
sf,sf,sf,sf,sf,sf,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3,0.9,115
sf,sf,sf,sf,sf,sf,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,ff,3.6,1.1,115
